Date,Description,Amount,Category,Type
2024-01-10,FREELANCE PAYMENT,8000.0,,Credit
2024-01-10,SWIGGY,-170.0,,Debit
2024-01-10,DECATHLON,-800.0,,Debit
2024-01-10,STARBUCKS,-280.0,,Debit
2024-01-11,METRO CARD RECHARGE,-200.0,,Debit
2024-01-11,ORGANIC STORE,-420.0,,Debit
2024-01-11,ZOMATO,-240.0,,Debit
2024-01-11,OLA CABS,-130.0,,Debit
2024-01-11,DMART,-650.0,,Debit
2024-01-12,GROCERY STORE,-750.0,,Debit
2024-01-12,PIZZA HUT,-450.0,,Debit
2024-01-12,CAFE COFFEE DAY,-150.0,,Debit
2024-01-12,RAPIDO,-70.0,,Debit
2024-01-13,STATIONERY,-150.0,,Debit
2024-01-13,LOCAL RESTAURANT,-220.0,,Debit
2024-01-13,FLIPKART,-999.0,,Debit
2024-01-13,SWIGGY,-190.0,,Debit
2024-01-14,ZOMATO,-200.0,,Debit
2024-01-14,UBER,-160.0,,Debit
2024-01-14,DIAGNOSTIC LAB,-800.0,,Debit
2024-01-14,DOCTOR CONSULTATION,-500.0,,Debit
2024-01-15,LIC PREMIUM,-1000.0,,Debit
2024-01-15,HOUSE CLEANING,-400.0,,Debit
2024-01-15,PETROL PUMP,-850.0,,Debit
2024-01-15,MCDONALDS,-250.0,,Debit
2024-01-15,HAIRCUT SALON,-250.0,,Debit
2024-01-16,SWIGGY,-180.0,,Debit
2024-01-16,OLA CABS,-110.0,,Debit
2024-01-16,HALDIRAMS,-200.0,,Debit
2024-01-16,VEGETABLE MARKET,-280.0,,Debit
2024-01-17,INOX MOVIES,-400.0,,Debit
2024-01-17,AMAZON.COM,-499.0,,Debit
2024-01-17,STARBUCKS,-300.0,,Debit
2024-01-17,ZOMATO,-260.0,,Debit
2024-01-18,SUPERMARKET,-950.0,,Debit
2024-01-18,APOLLO PHARMACY,-200.0,,Debit
2024-01-18,RAPIDO,-90.0,,Debit
2024-01-18,SWIGGY,-150.0,,Debit
2024-01-18,FASTAG RECHARGE,-300.0,,Debit
2024-01-19,CHAAYOS,-120.0,,Debit
2024-01-19,FRUIT MARKET,-180.0,,Debit
2024-01-19,LOCAL RESTAURANT,-280.0,,Debit
2024-01-19,UBER,-130.0,,Debit
2024-01-20,SUBWAY,-220.0,,Debit
2024-01-20,ZOMATO,-190.0,,Debit
2024-01-20,CAFE COFFEE DAY,-160.0,,Debit
2024-01-20,CASHBACK CREDIT,150.0,,Credit
2024-01-20,COURSERA,-999.0,,Debit
2024-01-21,HEALTH INSURANCE,-500.0,,Debit
2024-01-21,SWIGGY,-210.0,,Debit
2024-01-21,OLA CABS,-140.0,,Debit
2024-01-21,DMART,-900.0,,Debit
2024-01-22,NYKAA,-600.0,,Debit
2024-01-22,MCDONALDS,-270.0,,Debit
2024-01-22,PETROL PUMP,-800.0,,Debit
2024-01-22,BOOKS PURCHASE,-450.0,,Debit
2024-01-23,ZOMATO,-230.0,,Debit
2024-01-23,NATURAL ICE CREAM,-150.0,,Debit
2024-01-23,STARBUCKS,-290.0,,Debit
2024-01-23,MYNTRA,-1200.0,,Debit
2024-01-24,SWIGGY,-160.0,,Debit
2024-01-24,FISH MARKET,-350.0,,Debit
2024-01-24,MILK SUBSCRIPTION,-180.0,,Debit
2024-01-24,RAPIDO,-75.0,,Debit
2024-01-24,PARKING CHARGES,-80.0,,Debit
2024-01-25,GAMING PURCHASE,-299.0,,Debit
2024-01-25,LOCAL RESTAURANT,-240.0,,Debit
2024-01-25,UBER,-150.0,,Debit
2024-01-25,INTEREST CREDIT,210.0,,Credit
2024-01-26,BASKIN ROBBINS,-220.0,,Debit
2024-01-26,ZOMATO,-200.0,,Debit
2024-01-26,CAFE COFFEE DAY,-170.0,,Debit
2024-01-26,MEDPLUS,-150.0,,Debit
2024-01-27,INDIAN RAILWAYS,-600.0,,Debit
2024-01-27,SWIGGY,-180.0,,Debit
2024-01-27,PETROL PUMP,-700.0,,Debit
2024-01-27,VEGETABLE MARKET,-300.0,,Debit
2024-01-28,SIP INVESTMENT,-2000.0,,Debit
2024-01-28,ZOMATO,-250.0,,Debit
2024-01-28,FLIPKART,-799.0,,Debit
2024-01-28,OLA CABS,-120.0,,Debit
2024-01-29,MCDONALDS,-230.0,,Debit
2024-01-29,STARBUCKS,-310.0,,Debit
2024-01-29,LAUNDRY SERVICE,-200.0,,Debit
2024-01-29,BAKERY,-180.0,,Debit
2024-01-30,SWIGGY,-190.0,,Debit
2024-01-30,RAPIDO,-65.0,,Debit
2024-01-30,GROCERY STORE,-600.0,,Debit
2024-01-30,BOAT EARPHONES,-999.0,,Debit
2024-01-31,DIVIDEND CREDIT,500.0,,Credit
2024-01-31,ZOMATO,-210.0,,Debit
2024-01-31,UBER,-145.0,,Debit
2024-01-31,UDEMY COURSE,-499.0,,Debit
