Date,Description,Amount,Category,Type
2025-12-19,SWIGGY,929.43,,Debit
2024-05-30,ZOMATO,329.25,,Debit
2024-02-27,DMART,3219.84,,Debit
2024-01-18,SALARY CREDIT,55582.69,,Credit
2024-10-29,STARBUCKS,534.98,,Debit
2025-03-12,INTEREST CREDIT,1669.61,,Credit
2025-03-03,MOBILE RECHARGE,636.62,,Debit
2025-07-13,STARBUCKS,216.1,,Debit
2024-12-30,NETFLIX,720.66,,Debit
2025-01-01,SALARY CREDIT,62988.93,,Credit
2025-02-15,ZOMATO,936.06,,Debit
2025-06-14,SWIGGY,1035.36,,Debit
2024-01-09,STARBUCKS,742.45,,Debit
2024-02-11,MYNTRA,550.39,,Debit
2025-07-28,RAPIDO,690.28,,Debit
2024-03-16,MYNTRA,1324.82,,Debit
2025-04-13,INTEREST CREDIT,341.18,,Credit
2024-07-22,BONUS CREDIT,1455.02,,Credit
2025-07-28,INTERNET BILL,1009.36,,Debit
2025-12-28,DMART,3555.21,,Debit
2024-02-09,MCDONALDS,324.87,,Debit
2025-04-09,NETFLIX,397.09,,Debit
2024-10-20,MCDONALDS,389.44,,Debit
2025-07-19,ZOMATO,704.52,,Debit
2025-09-14,CASHBACK CREDIT,450.6,,Credit
2025-12-14,SALARY CREDIT,48609.18,,Credit
2025-09-11,MCDONALDS,300.13,,Debit
2024-10-19,FREELANCE PAYMENT,19438.9,,Credit
2024-03-27,INTERNET BILL,586.7,,Debit
2024-02-19,UBER,312.93,,Debit
2024-09-04,MEDPLUS,1994.18,,Debit
2025-05-05,DMART,5583.62,,Debit
2024-12-22,SWIGGY,1101.29,,Debit
2024-05-30,DOMINOS PIZZA,444.24,,Debit
2024-03-10,UBER,802.2,,Debit
2024-02-13,PVR CINEMAS,1280.11,,Debit
2024-06-27,RAPIDO,467.24,,Debit
2024-11-17,MYNTRA,797.63,,Debit
2025-08-01,MEDPLUS,1250.91,,Debit
2025-05-12,DMART,4202.12,,Debit
2025-03-06,MEDPLUS,1193.66,,Debit
2024-05-03,FREELANCE PAYMENT,17067.09,,Credit
2024-06-30,YOUTUBE PREMIUM,268.39,,Debit
2025-07-31,INTEREST CREDIT,1343.63,,Credit
2025-10-02,UDEMY COURSE,485.49,,Debit
2024-04-15,RENT,18841.03,,Debit
2024-06-10,UDEMY COURSE,696.6,,Debit
2025-02-01,RENT,10284.94,,Debit
2025-10-14,DOMINOS PIZZA,881.59,,Debit
2024-05-17,WATER BILL,883.33,,Debit
2024-08-16,PVR CINEMAS,1950.33,,Debit
2025-08-24,CASHBACK CREDIT,688.0,,Credit
2025-04-01,RENT,15735.62,,Debit
2025-05-21,GYM MEMBERSHIP,1865.21,,Debit
2024-06-30,ELECTRICITY BILL,523.29,,Debit
2025-03-19,ZOMATO,676.6,,Debit
2024-10-25,MOBILE RECHARGE,967.56,,Debit
2024-01-04,LOCAL RESTAURANT,1996.3,,Debit
2024-09-27,YOUTUBE PREMIUM,282.39,,Debit
2024-09-05,FREELANCE PAYMENT,7501.3,,Credit
2025-03-27,CASHBACK CREDIT,1881.23,,Credit
2025-09-29,STARBUCKS,914.96,,Debit
2025-12-29,BOOKMYSHOW,310.11,,Debit
2025-04-23,INTERNET BILL,812.62,,Debit
2024-04-14,DMART,2038.4,,Debit
2025-12-20,UDEMY COURSE,1856.88,,Debit
2025-06-23,ZOMATO,931.43,,Debit
2024-01-21,SALARY CREDIT,45183.38,,Credit
2024-10-07,STARBUCKS,348.91,,Debit
2024-09-17,MYNTRA,1338.18,,Debit
2025-09-21,PETROL PUMP,4867.21,,Debit
2024-04-14,FREELANCE PAYMENT,18597.27,,Credit
2025-08-11,MCDONALDS,761.53,,Debit
2024-03-06,YOUTUBE PREMIUM,230.78,,Debit
2024-12-18,OLA CABS,1495.44,,Debit
2024-10-16,PETROL PUMP,1464.56,,Debit
2024-10-22,UDEMY COURSE,305.21,,Debit
2024-09-09,UBER,1499.4,,Debit
2024-10-31,FREELANCE PAYMENT,18925.3,,Credit
2025-06-09,INTEREST CREDIT,859.57,,Credit
2025-06-11,MEDPLUS,718.34,,Debit
2024-01-08,FLIPKART,7513.19,,Debit
2025-01-28,GYM MEMBERSHIP,513.53,,Debit
2024-09-05,LOCAL RESTAURANT,916.31,,Debit
2024-08-20,NETFLIX,268.05,,Debit
2024-08-17,UDEMY COURSE,822.14,,Debit
2024-06-07,STARBUCKS,864.05,,Debit
2024-01-19,APOLLO PHARMACY,1614.11,,Debit
2025-07-28,GAS CYLINDER,1399.26,,Debit
2024-03-03,GAS CYLINDER,1451.9,,Debit
2025-08-06,ZOMATO,1198.48,,Debit
2025-01-10,MEDPLUS,1799.46,,Debit
2025-09-26,BONUS CREDIT,1500.01,,Credit
2024-03-01,INTERNET BILL,723.64,,Debit
2025-10-09,MCDONALDS,299.93,,Debit
2025-07-17,MEDPLUS,2940.74,,Debit
2025-02-26,BOOKMYSHOW,468.72,,Debit
2025-03-08,BONUS CREDIT,1004.03,,Credit
2025-11-26,MEDPLUS,153.24,,Debit
2024-02-22,NETFLIX,516.1,,Debit
2025-01-02,DMART,2772.69,,Debit
2024-06-26,GYM MEMBERSHIP,2202.19,,Debit
2024-04-30,INTEREST CREDIT,1695.48,,Credit
2025-05-24,RENT,16378.95,,Debit
2025-05-17,SWIGGY,155.42,,Debit
2024-10-06,UDEMY COURSE,116.24,,Debit
2024-11-08,SPOTIFY,108.94,,Debit
2025-12-17,YOUTUBE PREMIUM,259.99,,Debit
2025-02-01,APOLLO PHARMACY,2623.82,,Debit
2024-09-29,DMART,3766.31,,Debit
2024-09-10,OLA CABS,216.04,,Debit
2024-04-12,BONUS CREDIT,1843.58,,Credit
2025-02-25,CASHBACK CREDIT,1598.62,,Credit
2024-05-04,PVR CINEMAS,432.06,,Debit
2025-11-04,SPOTIFY,279.29,,Debit
2024-10-15,RAPIDO,112.19,,Debit
2025-12-28,YOUTUBE PREMIUM,376.59,,Debit
2024-09-30,STARBUCKS,345.35,,Debit
2024-09-21,AMAZON PRIME,804.87,,Debit
2024-07-22,UBER,238.25,,Debit
2025-12-03,UDEMY COURSE,1453.8,,Debit
2025-07-02,NETFLIX,731.11,,Debit
2025-11-28,ZOMATO,550.22,,Debit
2025-11-08,YOUTUBE PREMIUM,392.93,,Debit
2024-06-11,BOOKMYSHOW,1192.18,,Debit
2025-08-05,SPOTIFY,229.81,,Debit
2025-11-24,RAPIDO,713.99,,Debit
2024-08-16,AMAZON PRIME,659.96,,Debit
2025-12-16,SPOTIFY,192.54,,Debit
2025-06-24,APOLLO PHARMACY,2881.01,,Debit
2024-10-20,MEDPLUS,2144.21,,Debit
2024-03-30,BONUS CREDIT,183.75,,Credit
2024-10-24,SWIGGY,1162.12,,Debit
2024-06-13,CASHBACK CREDIT,1085.05,,Credit
2025-09-24,FLIPKART,2273.6,,Debit
2024-03-12,YOUTUBE PREMIUM,321.66,,Debit
2025-01-29,GAS CYLINDER,1410.28,,Debit
2024-07-21,RAPIDO,582.25,,Debit
2025-05-20,MEDPLUS,1916.69,,Debit
2025-11-18,FREELANCE PAYMENT,8155.33,,Credit
2025-02-08,BONUS CREDIT,299.92,,Credit
2025-06-19,CASHBACK CREDIT,610.63,,Credit
2025-04-29,SALARY CREDIT,62298.36,,Credit
2025-02-25,GYM MEMBERSHIP,687.0,,Debit
2024-06-03,GYM MEMBERSHIP,2584.01,,Debit
2025-01-13,LOCAL RESTAURANT,1674.71,,Debit
2025-04-23,PETROL PUMP,4627.6,,Debit
2025-09-14,DMART,6380.0,,Debit
2025-07-14,GAS CYLINDER,977.06,,Debit
2024-01-09,UBER,299.77,,Debit
2025-05-08,WATER BILL,714.15,,Debit
2025-11-12,RENT,10360.77,,Debit
2025-09-20,AMAZON.COM,7507.62,,Debit
2024-06-23,LOCAL RESTAURANT,972.18,,Debit
2025-08-06,CASHBACK CREDIT,1177.1,,Credit
2025-12-12,YOUTUBE PREMIUM,163.31,,Debit
2024-07-05,OLA CABS,123.17,,Debit
2024-04-28,MOBILE RECHARGE,773.29,,Debit
2025-11-17,AMAZON PRIME,467.58,,Debit
2024-11-16,CASHBACK CREDIT,137.8,,Credit
2025-02-01,DOMINOS PIZZA,623.62,,Debit
2024-12-23,SWIGGY,479.11,,Debit
2024-01-04,YOUTUBE PREMIUM,355.82,,Debit
2025-02-27,MYNTRA,576.56,,Debit
2024-07-06,DMART,1722.39,,Debit
2025-11-16,UBER,798.03,,Debit
2024-05-22,APOLLO PHARMACY,2900.4,,Debit
2025-07-02,INTERNET BILL,715.41,,Debit
2025-04-10,ZOMATO,628.92,,Debit
2024-01-04,ZOMATO,766.81,,Debit
2024-08-31,PVR CINEMAS,1359.92,,Debit
2025-11-23,UBER,1043.42,,Debit
2025-06-23,RENT,15840.17,,Debit
2025-12-25,LOCAL RESTAURANT,1345.04,,Debit
2025-09-21,INTERNET BILL,968.9,,Debit
2024-02-20,PETROL PUMP,1664.41,,Debit
2025-03-23,PVR CINEMAS,971.22,,Debit
2025-04-30,APOLLO PHARMACY,720.2,,Debit
2025-06-08,UBER,827.83,,Debit
2025-12-21,DOMINOS PIZZA,426.13,,Debit
2024-06-23,BONUS CREDIT,667.64,,Credit
2025-07-15,MCDONALDS,430.73,,Debit
2024-02-29,DMART,6710.98,,Debit
2024-08-08,ELECTRICITY BILL,1898.42,,Debit
2025-07-10,PVR CINEMAS,1841.33,,Debit
2025-08-12,YOUTUBE PREMIUM,242.65,,Debit
2024-02-08,APOLLO PHARMACY,2503.82,,Debit
2025-04-08,ZOMATO,312.3,,Debit
2024-05-20,UDEMY COURSE,1659.36,,Debit
2024-04-11,PVR CINEMAS,531.96,,Debit
2025-01-18,OLA CABS,197.01,,Debit
2024-07-09,CASHBACK CREDIT,1159.76,,Credit
2024-12-01,FLIPKART,3512.33,,Debit
2025-07-15,NETFLIX,779.86,,Debit
2024-03-28,MCDONALDS,389.84,,Debit
2024-03-01,DMART,1451.83,,Debit
2025-01-08,LOCAL RESTAURANT,887.22,,Debit
2024-03-18,NETFLIX,918.58,,Debit
2025-12-20,UBER,971.27,,Debit
2025-12-27,AMAZON PRIME,953.38,,Debit
2025-08-30,ZOMATO,457.17,,Debit
2024-03-17,UBER,306.79,,Debit
2025-09-06,DMART,2618.11,,Debit
2024-12-31,ZOMATO,414.1,,Debit
2025-02-15,BOOKMYSHOW,891.38,,Debit
2025-12-26,ZOMATO,857.91,,Debit
2024-10-12,RENT,13319.84,,Debit
2024-10-30,WATER BILL,919.28,,Debit
2024-07-09,LOCAL RESTAURANT,1938.38,,Debit
2025-09-18,INTEREST CREDIT,1415.52,,Credit
2024-08-18,DOMINOS PIZZA,487.9,,Debit
2024-06-03,NETFLIX,932.16,,Debit
2024-10-08,ELECTRICITY BILL,2039.67,,Debit
2024-12-03,AMAZON PRIME,1298.54,,Debit
2024-05-13,NETFLIX,756.0,,Debit
2025-10-22,CASHBACK CREDIT,1083.52,,Credit
2025-06-21,SALARY CREDIT,57829.28,,Credit
2024-08-17,NETFLIX,459.61,,Debit
2024-01-09,FLIPKART,4462.74,,Debit
2025-06-10,FLIPKART,4436.94,,Debit
2024-10-12,MOBILE RECHARGE,965.56,,Debit
2024-02-05,AMAZON PRIME,939.53,,Debit
2024-09-15,SALARY CREDIT,50794.84,,Credit
2024-02-13,SPOTIFY,201.17,,Debit
2025-01-25,AMAZON PRIME,928.08,,Debit
2025-03-02,WATER BILL,791.83,,Debit
2024-11-24,INTERNET BILL,1080.45,,Debit
2024-12-01,OLA CABS,1306.21,,Debit
2024-06-20,PVR CINEMAS,868.7,,Debit
2025-08-17,OLA CABS,1020.83,,Debit
2024-01-17,MEDPLUS,2015.75,,Debit
2025-10-30,LOCAL RESTAURANT,862.18,,Debit
2025-06-07,FLIPKART,8344.86,,Debit
2024-10-10,PETROL PUMP,2362.09,,Debit
2025-11-22,SWIGGY,752.6,,Debit
2025-10-23,NETFLIX,500.56,,Debit
2024-02-24,STARBUCKS,765.52,,Debit
2024-03-30,SWIGGY,261.68,,Debit
2025-05-09,UBER,714.78,,Debit
2024-05-31,INTERNET BILL,1226.17,,Debit
2025-05-12,LOCAL RESTAURANT,644.88,,Debit
2024-12-11,INTERNET BILL,541.82,,Debit
2024-05-19,AMAZON.COM,453.97,,Debit
2025-08-24,YOUTUBE PREMIUM,312.95,,Debit
2024-03-20,PETROL PUMP,1817.66,,Debit
2025-04-27,PETROL PUMP,2450.08,,Debit
2025-04-18,MCDONALDS,621.79,,Debit
2025-01-24,BOOKMYSHOW,477.78,,Debit
2024-03-24,MYNTRA,217.6,,Debit
2024-07-22,NETFLIX,349.28,,Debit
2025-05-17,MCDONALDS,202.13,,Debit
2025-05-28,GYM MEMBERSHIP,2866.65,,Debit
2024-07-05,UDEMY COURSE,1760.75,,Debit
2025-04-03,FREELANCE PAYMENT,13509.9,,Credit
2024-11-29,RENT,11406.41,,Debit
2024-09-26,SPOTIFY,167.59,,Debit
2024-05-14,SWIGGY,758.88,,Debit
2025-04-24,RENT,10651.3,,Debit
2024-04-08,MEDPLUS,461.18,,Debit
2025-05-18,BOOKMYSHOW,1019.31,,Debit
2025-01-23,NETFLIX,722.4,,Debit
2024-09-10,INTERNET BILL,1378.74,,Debit
2024-08-13,CASHBACK CREDIT,526.25,,Credit
2024-11-18,MOBILE RECHARGE,481.03,,Debit
2025-07-20,NETFLIX,507.58,,Debit
2024-11-11,SALARY CREDIT,64849.8,,Credit
2025-01-23,BOOKMYSHOW,835.32,,Debit
2025-12-13,UBER,220.98,,Debit
2024-01-04,SWIGGY,242.04,,Debit
2024-05-06,FREELANCE PAYMENT,11798.22,,Credit
2025-04-26,SPOTIFY,224.74,,Debit
2025-04-09,WATER BILL,960.92,,Debit
2025-08-09,AMAZON PRIME,643.35,,Debit
2024-12-09,INTERNET BILL,575.67,,Debit
2024-08-08,INTEREST CREDIT,313.32,,Credit
2025-11-01,FLIPKART,8733.83,,Debit
2025-08-10,FLIPKART,363.61,,Debit
2025-06-26,AMAZON PRIME,635.86,,Debit
2025-08-24,GYM MEMBERSHIP,962.79,,Debit
2024-12-07,UBER,847.15,,Debit
2024-07-20,PETROL PUMP,4575.49,,Debit
2024-06-24,AMAZON.COM,2602.75,,Debit
2025-09-12,DOMINOS PIZZA,645.03,,Debit
2025-06-14,SPOTIFY,116.07,,Debit
2024-08-17,CASHBACK CREDIT,1906.21,,Credit
2024-09-18,BOOKMYSHOW,239.21,,Debit
2025-12-11,APOLLO PHARMACY,491.62,,Debit
2025-09-28,YOUTUBE PREMIUM,310.32,,Debit
2024-04-23,SWIGGY,363.69,,Debit
2024-09-20,SWIGGY,712.67,,Debit
2024-08-06,ELECTRICITY BILL,917.6,,Debit
2025-10-24,ZOMATO,458.8,,Debit
2024-08-09,INTERNET BILL,1045.47,,Debit
2024-11-10,BONUS CREDIT,1114.94,,Credit
2025-03-29,GYM MEMBERSHIP,2460.33,,Debit
2024-02-25,FLIPKART,4624.54,,Debit
2024-06-01,GAS CYLINDER,1197.65,,Debit
2024-10-21,MEDPLUS,431.59,,Debit
2025-11-19,UDEMY COURSE,1901.95,,Debit
2024-10-12,ZOMATO,233.43,,Debit
2025-08-13,MOBILE RECHARGE,873.98,,Debit
2025-03-23,FLIPKART,8003.04,,Debit
2025-05-05,NETFLIX,281.47,,Debit
2025-04-05,PETROL PUMP,1140.84,,Debit
2025-08-05,SALARY CREDIT,52291.45,,Credit
2024-08-20,SPOTIFY,133.7,,Debit
2024-11-29,INTEREST CREDIT,1557.4,,Credit
2025-05-04,YOUTUBE PREMIUM,366.27,,Debit
2024-09-01,UBER,520.11,,Debit
2025-10-05,GAS CYLINDER,1318.2,,Debit
2024-10-10,FREELANCE PAYMENT,21459.6,,Credit
2025-01-04,AMAZON PRIME,377.03,,Debit
2025-03-06,BOOKMYSHOW,1439.92,,Debit
2025-06-19,MEDPLUS,915.05,,Debit
2024-04-30,WATER BILL,250.48,,Debit
2025-05-02,SPOTIFY,253.8,,Debit
2025-03-05,LOCAL RESTAURANT,1993.93,,Debit
2024-01-22,MOBILE RECHARGE,680.88,,Debit
2024-02-26,ELECTRICITY BILL,1613.41,,Debit
2024-06-30,GYM MEMBERSHIP,1194.17,,Debit
2024-05-14,RENT,8478.85,,Debit
2024-03-27,OLA CABS,1180.17,,Debit
2024-06-13,GAS CYLINDER,1491.82,,Debit
2024-06-07,RAPIDO,767.96,,Debit
2024-10-17,APOLLO PHARMACY,2349.5,,Debit
2024-08-17,FLIPKART,4966.71,,Debit
2025-12-09,RENT,11532.64,,Debit
2024-10-05,GYM MEMBERSHIP,2160.6,,Debit
2024-04-08,SWIGGY,675.4,,Debit
2025-03-14,YOUTUBE PREMIUM,343.59,,Debit
2024-01-08,RAPIDO,86.85,,Debit
2024-11-09,NETFLIX,382.77,,Debit
2025-05-19,RENT,16757.72,,Debit
2024-08-06,FLIPKART,5310.25,,Debit
2024-10-20,OLA CABS,831.79,,Debit
2025-01-19,BOOKMYSHOW,1086.19,,Debit
2024-10-29,CASHBACK CREDIT,158.73,,Credit
2024-04-07,LOCAL RESTAURANT,1540.59,,Debit
2024-07-06,DOMINOS PIZZA,259.03,,Debit
2024-04-27,GYM MEMBERSHIP,1802.29,,Debit
2024-02-23,DMART,3518.49,,Debit
2025-05-25,STARBUCKS,943.12,,Debit
2024-02-14,YOUTUBE PREMIUM,344.59,,Debit
2024-03-20,BOOKMYSHOW,471.76,,Debit
2025-09-11,SWIGGY,658.56,,Debit
2025-08-18,SWIGGY,424.62,,Debit
2024-05-24,FLIPKART,1071.88,,Debit
2025-02-12,AMAZON PRIME,781.57,,Debit
2024-11-16,AMAZON PRIME,585.41,,Debit
2025-06-06,PETROL PUMP,1967.92,,Debit
2025-03-07,LOCAL RESTAURANT,1399.93,,Debit
2024-01-07,RAPIDO,737.24,,Debit
2024-07-26,MCDONALDS,678.15,,Debit
2025-05-24,CASHBACK CREDIT,232.74,,Credit
2025-02-15,UDEMY COURSE,927.95,,Debit
2024-07-03,AMAZON PRIME,307.82,,Debit
2025-08-29,SPOTIFY,155.57,,Debit
2024-07-21,AMAZON PRIME,545.92,,Debit
2025-03-24,BOOKMYSHOW,550.79,,Debit
2025-01-26,DMART,523.44,,Debit
2025-01-27,GAS CYLINDER,1428.22,,Debit
2024-08-24,AMAZON.COM,8737.16,,Debit
2025-06-18,BOOKMYSHOW,292.77,,Debit
2024-11-27,AMAZON PRIME,1100.42,,Debit
2024-05-13,MOBILE RECHARGE,760.85,,Debit
2025-11-06,DMART,4402.81,,Debit
2024-05-11,AMAZON.COM,9520.4,,Debit
2025-11-27,ELECTRICITY BILL,693.71,,Debit
2024-05-31,RENT,9396.48,,Debit
2025-12-19,GYM MEMBERSHIP,1799.04,,Debit
2024-11-18,BOOKMYSHOW,552.1,,Debit
2025-10-31,DOMINOS PIZZA,995.16,,Debit
2024-12-30,GYM MEMBERSHIP,2242.48,,Debit
2024-10-02,PETROL PUMP,2007.46,,Debit
2025-08-07,DOMINOS PIZZA,1098.16,,Debit
2024-06-21,UDEMY COURSE,606.34,,Debit
2024-11-09,INTERNET BILL,664.71,,Debit
2025-12-31,INTERNET BILL,1310.15,,Debit
2024-08-30,FREELANCE PAYMENT,11391.48,,Credit
2024-10-04,CASHBACK CREDIT,744.17,,Credit
2024-10-18,INTEREST CREDIT,708.82,,Credit
2024-05-30,OLA CABS,1373.28,,Debit
2024-11-03,OLA CABS,157.67,,Debit
2025-01-16,BOOKMYSHOW,974.42,,Debit
2025-01-27,BONUS CREDIT,1354.44,,Credit
2025-01-06,ZOMATO,825.1,,Debit
2025-05-09,PETROL PUMP,3794.14,,Debit
2024-07-08,RAPIDO,604.41,,Debit
2025-12-16,AMAZON.COM,4055.8,,Debit
2025-11-17,PETROL PUMP,2303.05,,Debit
2024-10-10,YOUTUBE PREMIUM,376.38,,Debit
2025-09-13,APOLLO PHARMACY,474.51,,Debit
2025-11-30,FLIPKART,3567.91,,Debit
2024-08-02,MEDPLUS,1397.8,,Debit
2024-06-12,MCDONALDS,379.37,,Debit
2025-06-07,LOCAL RESTAURANT,264.46,,Debit
2024-03-19,GYM MEMBERSHIP,2728.43,,Debit
2025-03-08,INTEREST CREDIT,1029.37,,Credit
2024-02-09,LOCAL RESTAURANT,593.84,,Debit
2024-01-21,YOUTUBE PREMIUM,348.45,,Debit
2025-08-04,ZOMATO,226.23,,Debit
2024-12-13,WATER BILL,725.71,,Debit
2025-10-25,CASHBACK CREDIT,241.55,,Credit
2025-12-25,MOBILE RECHARGE,290.38,,Debit
2025-10-25,SPOTIFY,213.01,,Debit
2025-04-28,INTEREST CREDIT,979.79,,Credit
2024-03-23,PETROL PUMP,3723.13,,Debit
2025-02-09,FREELANCE PAYMENT,23170.78,,Credit
2025-03-28,MCDONALDS,268.86,,Debit
2024-10-03,RENT,11998.84,,Debit
2025-07-22,APOLLO PHARMACY,1092.88,,Debit
2025-07-07,ZOMATO,189.18,,Debit
2025-08-02,CASHBACK CREDIT,1581.02,,Credit
2025-09-09,FREELANCE PAYMENT,5991.69,,Credit
2025-05-09,DOMINOS PIZZA,410.35,,Debit
2024-12-19,BOOKMYSHOW,779.68,,Debit
2024-11-22,CASHBACK CREDIT,1776.03,,Credit
2025-12-20,SALARY CREDIT,45642.18,,Credit
2024-06-06,UBER,533.42,,Debit
2024-12-03,ZOMATO,429.73,,Debit
2024-03-09,MOBILE RECHARGE,871.59,,Debit
2025-06-29,ELECTRICITY BILL,1871.02,,Debit
2025-04-14,AMAZON PRIME,1301.75,,Debit
2025-05-13,SWIGGY,1071.51,,Debit
2025-07-04,SALARY CREDIT,68245.09,,Credit
2024-05-28,RENT,11429.67,,Debit
2025-12-24,SALARY CREDIT,55905.53,,Credit
2024-08-13,INTERNET BILL,523.27,,Debit
2025-10-14,BONUS CREDIT,458.99,,Credit
2025-03-13,YOUTUBE PREMIUM,306.29,,Debit
2025-07-08,OLA CABS,1431.72,,Debit
2024-12-14,SALARY CREDIT,55775.72,,Credit
2025-11-24,DMART,2635.87,,Debit
2025-04-25,BONUS CREDIT,1104.7,,Credit
2024-05-30,DOMINOS PIZZA,728.63,,Debit
2024-12-30,ELECTRICITY BILL,1238.8,,Debit
2024-11-07,YOUTUBE PREMIUM,145.04,,Debit
2024-07-24,STARBUCKS,560.43,,Debit
2024-04-14,SWIGGY,266.42,,Debit
2024-10-29,INTERNET BILL,904.54,,Debit
2024-11-02,MOBILE RECHARGE,275.85,,Debit
2024-12-17,BOOKMYSHOW,237.4,,Debit
2024-02-26,AMAZON PRIME,629.74,,Debit
2024-10-02,FREELANCE PAYMENT,21260.31,,Credit
2024-12-31,SALARY CREDIT,60892.54,,Credit
2024-07-26,UDEMY COURSE,164.04,,Debit
2025-05-09,RAPIDO,670.31,,Debit
2024-09-06,CASHBACK CREDIT,1421.76,,Credit
2024-07-21,MEDPLUS,549.1,,Debit
2025-07-02,NETFLIX,598.68,,Debit
2025-06-16,UDEMY COURSE,1705.47,,Debit
2025-02-02,RENT,14653.27,,Debit
2024-04-30,BONUS CREDIT,1336.17,,Credit
2025-07-23,OLA CABS,992.91,,Debit
2025-01-11,GYM MEMBERSHIP,1738.98,,Debit
2024-10-13,MCDONALDS,650.76,,Debit
2025-02-27,ZOMATO,517.73,,Debit
2024-01-19,PVR CINEMAS,1722.18,,Debit
2025-06-13,SWIGGY,1123.58,,Debit
2024-10-17,DOMINOS PIZZA,648.95,,Debit
2025-07-11,SWIGGY,482.65,,Debit
2024-05-11,GAS CYLINDER,1231.4,,Debit
2025-12-30,OLA CABS,419.18,,Debit
2024-12-08,MEDPLUS,2680.94,,Debit
2025-01-13,UBER,539.28,,Debit
2025-02-07,PVR CINEMAS,1739.31,,Debit
2024-03-31,INTEREST CREDIT,1215.48,,Credit
2024-05-10,PETROL PUMP,3043.26,,Debit
2025-05-19,AMAZON.COM,604.87,,Debit
2025-07-03,FLIPKART,516.45,,Debit
2024-02-09,NETFLIX,795.53,,Debit
2024-08-07,WATER BILL,822.31,,Debit
2025-02-15,MEDPLUS,1625.82,,Debit
2025-08-10,FREELANCE PAYMENT,5715.2,,Credit
2024-06-27,BOOKMYSHOW,495.86,,Debit
2025-10-28,RAPIDO,62.01,,Debit
2024-03-17,STARBUCKS,650.12,,Debit
2024-08-13,SWIGGY,1066.85,,Debit
2025-10-01,RAPIDO,385.28,,Debit
